flight_no,origin,destination,dep_time,arr_time,op_days
JAL101,HND,ITM,06:30,07:35,1111111
JAL221,HND,KIX,07:20,08:35,1111111
JAL103,HND,ITM,07:30,08:35,1111111
JAL107,HND,ITM,08:30,09:35,1111111
JAL111,HND,ITM,09:30,10:40,1111111
JAL113,HND,ITM,10:30,11:35,1111111
JAL115,HND,ITM,11:30,12:35,1111111
JAL117,HND,ITM,12:30,13:35,1111111
JAL225,HND,KIX,12:35,14:00,1111111
JAL119,HND,ITM,13:35,14:40,1111111
JAL121,HND,ITM,14:30,15:35,1111111
JAL125,HND,ITM,14:55,16:00,1111111
JAL127,HND,ITM,16:30,17:35,1111111
JAL131,HND,ITM,17:45,18:50,1111111
JAL133,HND,ITM,18:00,19:05,1111111
JAL137,HND,ITM,18:40,19:50,1111111
JAL139,HND,ITM,19:10,20:25,1111111
JAL229,HND,KIX,20:40,21:55,1111111
JAL220,KIX,HND,06:40,07:50,1111111
JAL102,ITM,HND,07:05,08:15,1111111
JAL104,ITM,HND,07:25,08:40,1111111
JAL106,ITM,HND,08:25,09:35,1111111
JAL110,ITM,HND,09:25,10:35,1111111
JAL112,ITM,HND,10:20,11:30,1111111
JAL114,ITM,HND,11:25,12:40,1111111
JAL116,ITM,HND,12:25,13:40,1111111
JAL118,ITM,HND,13:30,14:40,1111111
JAL120,ITM,HND,14:20,15:35,1111111
JAL224,KIX,HND,14:50,16:10,1111111
JAL124,ITM,HND,15:35,17:00,1111111
JAL126,ITM,HND,16:25,17:50,1111111
JAL128,ITM,HND,16:50,18:10,1111111
JAL130,ITM,HND,18:25,19:40,1111111
JAL134,ITM,HND,19:35,20:50,1111111
JAL138,ITM,HND,20:05,21:20,1111111
JAL228,KIX,HND,21:15,22:30,1111111
JAL501,HND,CTS,06:35,08:05,1111111
JAL503,HND,CTS,07:15,08:45,1111111
JAL505,HND,CTS,08:20,09:55,1111111
JAL507,HND,CTS,08:50,10:25,1111111
JAL509,HND,CTS,09:50,11:25,1111111
JAL511,HND,CTS,10:15,11:50,1111111
JAL513,HND,CTS,11:25,13:05,1111111
JAL515,HND,CTS,12:40,14:15,1111111
JAL517,HND,CTS,13:30,15:05,1111111
JAL519,HND,CTS,14:25,16:00,1111111
JAL521,HND,CTS,15:25,17:00,1111111
JAL523,HND,CTS,16:40,18:20,1111111
JAL525,HND,CTS,17:35,19:15,1111111
JAL527,HND,CTS,18:40,20:15,1111111
JAL529,HND,CTS,19:55,21:30,1111111
JAL599,HND,CTS,20:30,22:05,1111111
JAL531,HND,CTS,20:45,22:20,1111111
JAL590,CTS,HND,07:35,09:10,1111111
JAL500,CTS,HND,07:40,09:20,1111111
JAL502,CTS,HND,08:45,10:25,1111111
JAL504,CTS,HND,09:45,11:25,1111111
JAL506,CTS,HND,10:50,12:30,1111111
JAL508,CTS,HND,11:25,13:05,1111111
JAL510,CTS,HND,12:50,14:30,1111111
JAL512,CTS,HND,14:00,15:40,1111111
JAL514,CTS,HND,15:15,16:55,1111111
JAL516,CTS,HND,16:05,17:45,1111111
JAL518,CTS,HND,17:00,18:45,1111111
JAL520,CTS,HND,17:15,18:55,1111111
JAL522,CTS,HND,18:05,19:45,1111111
JAL524,CTS,HND,19:15,20:55,1111111
JAL526,CTS,HND,20:15,21:55,1111111
JAL528,CTS,HND,21:15,22:55,1111111
JAL530,CTS,HND,21:25,23:05,1111111
JAL201,HND,NGO,08:15,09:10,1111111
JAL209,HND,NGO,19:55,20:55,1111111
JAL202,NGO,HND,07:45,08:50,1111111
JAL208,NGO,HND,20:55,22:00,1111111
JAL303,HND,FUK,06:25,08:15,1111111
JAL305,HND,FUK,07:05,08:50,1111111
JAL307,HND,FUK,08:00,09:50,1111111
JAL309,HND,FUK,09:05,10:55,1111111
JAL311,HND,FUK,09:15,11:05,1111111
JAL313,HND,FUK,10:00,11:55,1111111
JAL315,HND,FUK,11:00,12:55,1111111
JAL317,HND,FUK,11:55,13:45,1111111
JAL319,HND,FUK,12:50,14:40,1111111
JAL321,HND,FUK,13:45,15:35,1111111
JAL323,HND,FUK,15:25,17:15,1111111
JAL325,HND,FUK,15:55,17:50,1111111
JAL327,HND,FUK,17:00,19:00,1111111
JAL329,HND,FUK,17:55,19:55,1111111
JAL331,HND,FUK,18:45,20:35,1111111
JAL333,HND,FUK,19:15,21:10,1111111
JAL335,HND,FUK,19:30,21:30,1111111
JAL300,FUK,HND,07:00,08:40,1111111
JAL302,FUK,HND,07:25,09:05,1111111
JAL304,FUK,HND,08:10,09:50,1111111
JAL306,FUK,HND,09:15,10:55,1111111
JAL308,FUK,HND,10:05,11:45,1111111
JAL310,FUK,HND,11:00,12:45,1111111
JAL312,FUK,HND,11:55,13:40,1111111
JAL314,FUK,HND,12:55,14:40,1111111
JAL316,FUK,HND,14:00,15:45,1111111
JAL318,FUK,HND,14:35,16:25,1111111
JAL320,FUK,HND,16:00,17:50,1111111
JAL322,FUK,HND,16:30,18:20,1111111
JAL324,FUK,HND,17:10,18:55,1111111
JAL326,FUK,HND,18:20,20:05,1111111
JAL328,FUK,HND,19:10,20:55,1111111
JAL330,FUK,HND,20:00,21:45,1111111
JAL332,FUK,HND,21:00,22:40,1111111
JAL901,HND,OKA,06:30,09:05,1111111
JAL903,HND,OKA,07:20,10:00,1111111
JAL905,HND,OKA,08:05,10:50,1111111
JAL907,HND,OKA,08:40,11:25,1111111
JAL909,HND,OKA,09:40,12:20,1111111
JAL913,HND,OKA,10:35,13:15,1111111
JAL987,HND,OKA,11:30,14:10,1111111
JAL915,HND,OKA,11:55,14:35,1111111
JAL917,HND,OKA,13:55,16:30,1111111
JAL919,HND,OKA,15:10,17:45,1111111
JAL921,HND,OKA,15:55,18:30,1111111
JAL923,HND,OKA,16:55,19:35,1111111
JAL925,HND,OKA,20:05,22:35,1111111
JAL900,OKA,HND,07:25,09:50,1111111
JAL902,OKA,HND,10:00,12:25,1111111
JAL904,OKA,HND,11:00,13:25,1111111
JAL906,OKA,HND,11:50,14:15,1111111
JAL908,OKA,HND,12:25,14:50,1111111
JAL910,OKA,HND,13:20,15:50,1111111
JAL912,OKA,HND,14:05,16:35,1111111
JAL988,OKA,HND,15:00,17:35,1111111
JAL914,OKA,HND,15:45,18:15,1111111
JAL916,OKA,HND,17:55,20:15,1111111
JAL918,OKA,HND,18:55,21:20,1111111
JAL920,OKA,HND,19:35,22:00,1111111
JAL922,OKA,HND,20:35,23:00,1111111
JAL183,HND,KMQ,07:05,08:05,1111111
JAL185,HND,KMQ,09:30,10:35,1111111
JAL187,HND,KMQ,13:00,14:05,1111111
JAL189,HND,KMQ,16:45,17:55,1111111
JAL191,HND,KMQ,18:30,19:35,1111111
JAL193,HND,KMQ,20:40,21:40,1111111
JAL182,KMQ,HND,07:40,08:50,1111111
JAL184,KMQ,HND,08:45,09:55,1111111
JAL186,KMQ,HND,11:15,12:25,1111111
JAL188,KMQ,HND,14:50,16:05,1111111
JAL190,KMQ,HND,18:35,19:50,1111111
JAL192,KMQ,HND,20:25,21:40,1111111
JAL161,HND,AKT,07:00,08:05,1111111
JAL163,HND,AKT,10:30,11:35,1111111
JAL165,HND,AKT,14:50,15:50,1111111
JAL167,HND,AKT,19:10,20:15,1111111
JAL162,AKT,HND,08:45,09:55,1111111
JAL164,AKT,HND,12:10,13:20,1111111
JAL166,AKT,HND,17:00,18:10,1111111
JAL168,AKT,HND,20:50,22:00,1111111
JAL141,HND,AOJ,07:25,08:35,1111111
JAL143,HND,AOJ,10:05,11:20,1111111
JAL145,HND,AOJ,13:15,14:25,1111111
JAL147,HND,AOJ,16:00,17:10,1111111
JAL149,HND,AOJ,18:50,20:05,1111111
JAL151,HND,AOJ,19:50,21:05,1111111
JAL140,AOJ,HND,07:35,08:55,1111111
JAL142,AOJ,HND,09:10,10:30,1111111
JAL144,AOJ,HND,12:00,13:20,1111111
JAL146,AOJ,HND,15:15,16:40,1111111
JAL148,AOJ,HND,17:50,19:15,1111111
JAL150,AOJ,HND,20:45,22:05,1111111
JAL231,HND,OKJ,08:00,09:20,1111111
JAL233,HND,OKJ,10:20,11:40,1111111
JAL237,HND,OKJ,14:30,15:45,1111111
JAL239,HND,OKJ,17:30,18:45,1111111
JAL241,HND,OKJ,19:40,21:00,1111111
JAL232,OKJ,HND,07:05,08:25,1111111
JAL234,OKJ,HND,10:10,11:25,1111111
JAL236,OKJ,HND,12:25,13:40,1111111
JAL240,OKJ,HND,17:30,18:55,1111111
JAL242,OKJ,HND,19:25,20:40,1111111
JAL253,HND,HIJ,07:05,08:30,1111111
JAL255,HND,HIJ,08:45,10:10,1111111
JAL257,HND,HIJ,10:10,11:35,1111111
JAL259,HND,HIJ,11:35,13:00,1111111
JAL263,HND,HIJ,14:15,15:35,1111111
JAL265,HND,HIJ,18:20,19:50,1111111
JAL267,HND,HIJ,19:55,21:20,1111111
JAL252,HIJ,HND,07:40,09:00,1111111
JAL254,HIJ,HND,09:15,10:40,1111111
JAL256,HIJ,HND,12:20,13:40,1111111
JAL258,HIJ,HND,13:45,15:10,1111111
JAL262,HIJ,HND,16:20,17:55,1111111
JAL264,HIJ,HND,18:10,19:40,1111111
JAL266,HIJ,HND,20:35,22:00,1111111
