flight_no,origin,destination,dep_time,arr_time,op_days
JAL3623,FUK,KMI,07:20,08:00,1111111
JAL3625,FUK,KMI,09:45,10:30,1111111
JAL3627,FUK,KMI,11:45,12:30,1111111
JAL3629,FUK,KMI,12:40,13:25,1111111
JAL3633,FUK,KMI,14:25,15:10,1111111
JAL3635,FUK,KMI,15:25,16:10,1111111
JAL3639,FUK,KMI,19:10,19:55,1111111
JAL3624,KMI,FUK,08:30,09:20,1111111
JAL3626,KMI,FUK,11:00,11:55,1111111
JAL3628,KMI,FUK,13:00,13:50,1111111
JAL3630,KMI,FUK,14:00,14:50,1111111
JAL3634,KMI,FUK,15:45,16:35,1111111
JAL3636,KMI,FUK,16:50,17:40,1111111
JAL3642,KMI,FUK,20:30,21:30,1111111
JAL3591,FUK,MYJ,07:10,07:50,1111111
JAL3595,FUK,MYJ,11:55,12:40,1111111
JAL3601,FUK,MYJ,13:30,14:15,1111111
JAL3607,FUK,MYJ,17:40,18:25,1111111
JAL3592,MYJ,FUK,08:20,09:10,1111111
JAL3596,MYJ,FUK,13:25,14:15,1111111
JAL3602,MYJ,FUK,14:45,15:35,1111111
JAL3608,MYJ,FUK,17:40,18:35,1111111
JTA051,FUK,OKA,07:15,08:55,1111111
JTA053,FUK,OKA,09:35,11:20,1111111
JTA057,FUK,OKA,12:55,14:45,1111111
JTA061,FUK,OKA,15:55,17:40,1111111
JTA063,FUK,OKA,17:30,19:10,1111111
JTA065,FUK,OKA,20:50,22:30,1111111
JTA050,OKA,FUK,07:10,08:50,1111111
JTA052,OKA,FUK,10:25,12:15,1111111
JTA054,OKA,FUK,13:20,15:05,1111111
JTA058,OKA,FUK,15:00,16:45,1111111
JTA060,OKA,FUK,18:25,20:05,1111111
JTA062,OKA,FUK,19:40,21:25,1111111
JAL2181,ITM,HNA,07:25,08:50,1111111
JAL2183,ITM,HNA,11:45,13:00,1111111
JAL2185,ITM,HNA,13:45,15:00,1111111
JAL2187,ITM,HNA,16:50,18:15,1111111
JAL2180,HNA,ITM,09:20,10:50,1111111
JAL2182,HNA,ITM,13:30,14:55,1111111
JAL2186,HNA,ITM,15:30,16:55,1111111
JAL2190,HNA,ITM,18:45,20:20,1111111
JAL2171,ITM,AKT,07:55,09:10,1111111
JAL2173,ITM,AKT,12:20,13:35,1111111
JAL2179,ITM,AKT,16:30,17:45,1111111
JAL2172,AKT,ITM,09:45,11:10,1111111
JAL2174,AKT,ITM,14:10,15:35,1111111
JAL2176,AKT,ITM,18:15,19:40,1111111
JAL2345,ITM,IZO,07:10,08:00,1111111
JAL2351,ITM,IZO,10:25,11:10,1111111
JAL2355,ITM,IZO,14:35,15:20,1111111
JAL2357,ITM,IZO,18:10,18:55,1111111
JAL2344,IZO,ITM,08:30,09:20,1111111
JAL2346,IZO,ITM,11:40,12:25,1111111
JAL2356,IZO,ITM,15:55,16:45,1111111
JAL2358,IZO,ITM,19:30,20:20,1111111
JAL2361,ITM,OIT,07:15,08:15,1111111
JAL2365,ITM,OIT,10:15,11:10,1111111
JAL2367,ITM,OIT,17:40,18:35,1111111
JAL2362,OIT,ITM,08:45,09:40,1111111
JAL2364,OIT,ITM,11:40,12:40,1111111
JAL2366,OIT,ITM,19:10,20:15,1111111
